アケビタウン	akebi taun
アサツキタウン	asatsuki taun
アスチルベタウン	asuchirubetaun
アベリアタウン	aberia taun
アラモスタウン	aramosutaun
アルケーの谷	arukē no tani
アルトマーレ	arutomāre
イーストイッシュ	īsutoisshu
イーブイハウス	ībuihausu
イザベ島	izabe tō
オルドラン城	jō
鏡の国	kagami no kuni
かくれ里	kakure sato
カジノキシティ	kajinoki shiti
風の駅	kaze no eki
カタクリタウン	katakuri taun
カレントタウン	karento taun
グリーンフィールド	gurīn fīrudo
グロリオシティ	gurorioshiti
グンジョウシティ	gunjōshiti
時空の塔	jikū no tō
ジョウチャンタウン	jōchantaun
ジルバタウン	jiruba taun
白の遺跡	shiro no iseki
スイレンタウン	suiren taun
スズラン島	suzuran tō
世界のはじまりの樹	sekai no hajimari no ki
大地の剣	daichi no ken
タツナミタウン	tatsunamitaun
チカクノタウン	chikakunotaun
テーブルマウンテン	tēburu maunten
デセルシティ	deserushiti
デセルタワー	deserutawā
テッシード研究所	tesshīdo kenkyūjo
トアルタウン	toarutaun
トネリコタウン	toneriko taun
ニューアイランド	nyūairando
ハテノの森	hateno no mori
反転世界	hanten sekai
ヒガキシティ	higakishiti
ピュアズロック	pyuazurokku
ビンヌ	binnu
ファウンス	faunsu
フレイシティ	furei shiti
ポケモンスクール	pokemonsukūru
ポケモンゼミナール	pokemonzemināru
マッチャシティ	macchashiti
ミチーナ	michīna
ミチーナ神殿	michīna shinden
ミリーファタウン	mirīfataun
ミロス島	mi rosu tō
モダマタウン	modamataun
ユズリハ島	yuzuriha tō
ラーグンタウン	rāguntaun
ライモンタウン	raimontaun
ラルース	rarūsu
リザフィックバレー	rizafikkubarē
竜の里	ryū no sato
竜の谷	ryū no tani
ルイボスタウン	ruibosutaun
ロータ	rōta
マサラタウン	masarataun
トキワシティ	tokiwa shiti
ニビシティ	nibishiti
ハナダシティ	hanadashiti
クチバシティ	kuchibashiti
シオンタウン	shion taun
タマムシシティ	tamamushi shiti
ヤマブキシティ	yamabuki shiti
セキチクシティ	sekichiku shiti
グレンタウングレンじま	ji ma
セキエイこうげん	seki ei kō gen
トキワのもり	tokiwa no mori
おつきみやま	otsuki miyama
ディグダのあな	diguda no ana
ハナダのどうくつ	hanada no dō kutsu
イワヤマトンネル	iwayamatonneru
むじんはつでんしょ	mujinhatsudensho
シルフカンパニー	shirufukanpanī
ポケモンタワー	pokemontawā
ふたごじま	futa goji ma
ポケモンやしき	pokemon ya shiki
グレンラボラトリー	guren rabora torī
みさきのこや	mi sa kinoko ya
トージョウのたき	tōjō no taki
ワカバタウン	wakabataun
ヨシノシティ	yoshino shiti
キキョウシティ	kikyō shiti
ヒワダタウン	hiwadataun
コガネシティ	kogane shiti
エンジュシティ	enju shiti
アサギシティ	asagishiti
タンバシティ	tanbashiti
チョウジタウン	chōji taun
フスベシティ	fusubeshiti
くらやみのほらあな	kura yami no hora ana
マダツボミのとう	madatsubomi no tō
アルフのいせき	arufu no iseki
つながりのどうくつ	tsunagari no dō kutsu
ヤドンのいど	yadon noido
ウバメのもり	ubame no mori
ラジオとう	rajio tō
しぜんこうえん	shi zen kōen
スズのとう	suzu no tō
やけたとう	yake tatō
モーモーぼくじょう	mō mō bokuji yō
かがやきのとうだい	kagayaki no tō dai
スリバチやま	suribachi ya ma
いかりのみずうみ	ikari nomizu umi
うずまきじま	uzumakiji ma
こおりのぬけみち	kōri no nukemichi
りゅうのあな	ryū no ana
シロガネやま	shirogane ya ma
ミシロタウン	mishirotaun
コトキタウン	kotokitaun
トウカシティ	tōkashiti
カナズミシティ	kanazumishiti
ムロタウン	murotaun
カイナシティ	kainashiti
キンセツシティ	kinsetsushiti
シダケタウン	shidaketaun
フエンタウン	fuentaun
ヒワマキシティ	hiwamakishiti
ハジツゲタウン	haji tsuge taun
ミナモシティ	minamoshiti
トクサネシティ	tokusaneshiti
ルネシティ	runeshiti
キナギタウン	kinagitaun
サイユウシティ	saiyūshiti
トウカのもり	tōka no mori
カナシダトンネル	kanashidatonneru
こじまのよこあな	koji ma noyo ko ana
いしのどうくつ	ishi no dō kutsu
すてられぶね	suterare bune
シーキンセツ	shīkinsetsu
カラクリやしき	karakuri ya shiki
げんえいのとう	gen ei no tō
さばくいせき	saba kui seki
ほのおのぬけみち	ho no ono nukemichi
えんとつやま	ento tsuya ma
デコボコさんどう	dekoboko san dō
さばくのちかどう	sabaku nochi ka dō
りゅうせいのたき	ryū sei no taki
こだいづか	koda izu ka
おくりびやま	okuri biyama
あさせのほらあな	a sase no hora ana
かいていどうくつ	kaitei dō kutsu
めざめのほこら	mezame no hokora
マボロシじま	ji ma
そらのはしら	sora no hashira
おふれのせきしつ	o fure no seki shitsu
バトルタワー	batoru tawā
バトルフロンティア	batoru furontia
へんげのどうくつ	henge no dō kutsu
バトルリゾート	batoru rizōto
りくのどうくつ	riku no dō kutsu
うみのどうくつ	umi no dō kutsu
ひでりのいわと	hideri no iwa to
みなみのことう	minami no kotō
トレーナーヒル	torēnā hiru
さいはてのことう	sai hate no kotō
1のしま	1 no shima
2のしま	2 no shima
3のしま	3 no shima
4のしま	4 no shima
5のしま	5 no shima
6のしま	6 no shima
7のしま	7 no shima
ほてりのみち	hoteri no michi takara no hama
たからのはま	kiwa no misaki
きわのみさき	3 no shima minato
3のしま みなと	kizunaba shi
きずなばし	5 no shima a kichi
5のしま あきち	omoide no tō
おもいでのとう	mizu nomeiro
みずのめいろ	gōjasu rizōto
ゴージャスリゾート	mizu no sanpomichi
みずのさんぽみち	midori no sanpomichi
みどりのさんぽみち	hazure no shima
はずれのしま	iseki nota ni
いせきのたに	torēnā tawā
トレーナータワー	keiko kuiri guchi
けいこくいりぐち	shi ppō kei koku
しっぽうけいこく	asukana iseki
アスカナいせき	tomoshi biyama
ともしびやま	3 no shimayo ko ana
3のしま よこあな	ki nomi no mori
きのみのもり	ite daki no dō kutsu
いてだきのどうくつ	kaerazu no ana
かえらずのあな	shirushi no hayashi
しるしのはやし	henge no dō kutsu
へんげのどうくつ	ten no ana
てんのあな	asukana no kagi
アスカナのかぎ	asukana no seki shitsu
アスカナのせきしつ	iresu no seki shitsu
イレスのせきしつ	nazan no seki shitsu
ナザンのせきしつ	yugo no seki shitsu
ユゴのせきしつ	areboka no seki shitsu
アレボカのせきしつ	kotō no seki shitsu
コトーのせきしつ	anuza no seki shitsu
アヌザのせきしつ	orifu no seki shitsu
オリフのせきしつ	pokemonnettowākusentā
ポケモンネットワークセンター	tomoshi bionsen
ともしびおんせん	rokettoda n sō ko
ロケットだんそうこ	e sono iwa
へそのいわ	tanjō no shima
たんじょうのしま	futaba taun
フタバタウン	masagotaun
マサゴタウン	kotobuki shiti
コトブキシティ	kuroganeshiti
クロガネシティ	sonōtaun
ソノオタウン	hakutaishiti
ハクタイシティ	yosugashiti
ヨスガシティ	zui taun
ズイタウン	nomoseshiti
ノモセシティ	tobarishiti
トバリシティ	kannagitaun
カンナギタウン	mioshiti
ミオシティ	kissakishiti
キッサキシティ	nagisashiti
ナギサシティ	faito eria
ファイトエリア	sabaibaru eria
サバイバルエリア	rizōto eria
リゾートエリア	shinji ko
シンジこ	kuroganegēto
クロガネゲート	kurogane tan kō
クロガネたんこう	areta nukemichi
あれたぬけみち	sonō no hanaba take ta ni ma no hatsu den sho
ソノオのはなばたけ	haku tai no mori
たにまのはつでんしょ	mori no yō kan
ハクタイのもり	mayoi no dō kutsu
もりのようかん	ten gan zan
まよいのどうくつ	fureai hiroba
テンガンざん	rosuto tawā
ふれあいひろば	zui no iseki
ロストタワー	mania tonneru
ズイのいせき	jiman no ura niwa
マニアトンネル	daishi tsugen
じまんのうらにわ	risshi ko
だいしつげん	tatara sei tetsuji yo
リッシこ	kō tetsuji ma
タタラせいてつじょ	eichi ko
こうてつじま	yari no hashira
エイチこ	paru pāku
やりのはしら	kis saki shin den
パルパーク	hādo maunten
キッサキしんでん	kakure izumi e no michi
ハードマウンテン	o kuri no izumi
